Company Name ,Address,Post Code
Simply Cabs,"Simply Cabs Ltd, 4 Booth Drive , Park Farm Industrial Estate",NN8 6GR
Embassy Cars,,
Cab S.O.S,"742 Bordesley Green, Birmingham",B9 5PQ
Cvs - Fisal,"Unit 4b Rapyal House,  Talbot Way Small Heath Business Park",B10 0HJ
Facebook - NA Ltd,,
Linked In - The CAMS Group,,
Royal Taxis,"Unit 1 Isis Business Centre, Pony Road, Oxford",OX4 2RD
Solihull Executive Cars,"113 Regus Offices, Central Boulevard Blythe Valley Business Park, Shirley, Birmingham ",B90 8AG
Veezu Assist,A2b,
XLA Cars,,
Rts Claims,"210 St Vincent Street West, Ladywood, Birmingham ",B16 8RP
Heritage Cars,"378 Bearwood Road, Smethwick, West Midlands ",B66 4ET
Aqua Cars,"Unit 12-13, Partnership Business Park, Rodney Road Milton, Portsmouth",PO4 8DF
TP Capture,,
Wednesfield Cars,"2 Raynor Road, Wolverhampton",WV10 9QY
Fault - PI Capture,,
Windsor Cars,"59b St. Leonards Road, Windsor",SL4 3BX
Skyline Car Hire (UK) Ltd,"22 Church Lane, London",E11 1HG
Active Auto Solutions,"Landmark House East, Alpha Court , Kingsley Road ",LN6 3TA
Magna Accident Services,"Tillbridge Farm, Sturton-by-stow, Lincoln ",LN1 2DS
Birmingham Claim IT Ltd,,
Collision in Cross Hire Car,,
Royal Cars ,Birmingham ,
IVM Services Limited,"unit 1 , Old BSA Building, Birmingham",B11 2PP
Claim Compo,,
Advance Taxi Hire Limited,"223 Sladefield Road, Ward End, Birmingham ",B8 2SY
Active Auto Solutions Ltd,"Unit 17, Arena Business Centre, 9 Nimrod Way, Wimborne ",BH21 7UH
Tec Reports Group Ltd,"Griffin House, 2 Rawdon Road, Moira",DE12 6DQ
Vehicle Management Specialists Ltd,"76 Stafford Street, Walsall",WS2 8DU
Sajid - Staff,,
Sovereign Automotive,"29 East Street, Sovereign Automotive, Epsom ",KT17 1BD
Advance Taxi Hire Ltd,"223 Sladefield Road, Ward End, Birmingham ",B8 2SY
Smart Trade ,,
Link Shires Ltd,"56 Wilkins Road, Oxford",OX4 2HZ
Rozzii Ltd,"1 Guildford Street , S K N Business Centre, Birmingham",B19 2HN
Welayat ,,
C&G Solicitors,"3 Church Farm Court, Capenhurst Lane, Chester ",CH1 6HE
Samore Traders - OV,"30 Brewery Street, Aston ",B6 4JB
London Private Hire Chauffeur,,
Motor Vehicle Rescue And Recovery,"Rear Of 964,  Bristol Road, Northfield ",B312PE
Hatton Klein Solicitors,"75 Middleton Road, Manchester",M84JY
Swift Legal Ltd,"Universal Square, Devonshire Street North, Manchester ",M12 6JH
Apple Insurance Services,,
Crown Cars,,
Big Joe,"141 Wheelwright Road , Erdington, Birmingham ",B24 8HD
Kindertons,Kindertons House Marshfield Bank Crewe Cheshire,CW2 8UY
Dphta,"Beacon Taxi's , Dormston Trading Estate, Burton Road",DY1 2UF
